Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
1320,Yes,No,United States,No,Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,3-5 years,0-2 years,Moderately dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I・E・Em not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,4,8,6,5,2,7,9,3,10,1,2,1,7,10,5,4,3,6,11,8,9,5,3,4,1,2,5,4,2,3,1,6,7,I did not receive an expected change in compensation,U.S. dollars ($),130000,NA,130000,USD,"Confluence;Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly disagree,C;C++;C#;JavaScript;Python,C++;Go;Java;Python;Swift,MySQL,Amazon DynamoDB;Amazon Redshift;Amazon RDS/Aurora,Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,Amazon Echo;Android;AWS;Linux;Mac OS,.NET Core;Django;Node.js;React;Xamarin;TensorFlow,NA,Sublime Text;Visual Studio;Visual Studio Code,Windows,3,Agile;Pair programming;Scrum,NA,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Somewhat agree,Strongly agree,Strongly agree,Stopped going to a website because of their advertising;Paid to access a website advertisement-free,1,5,2,6,3,4,7,NA,NA,Nobody,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,Upper management at the company/organization,No,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,Yes,6,Yes,Extremely interested,Somewhat interested,Very interested,Not at all interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,Standing desk,Daily or almost every day,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",East Asian,25 - 34 years old,No,No,The survey was too long,Neither easy nor difficult
1321,Yes,Yes,Canada,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;DevOps specialist;Full-stack developer,3-5 years,0-2 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Less than a year ago,7,6,8,3,2,4,9,5,10,1,1,4,6,10,7,2,5,11,8,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,Canadian dollars (C$),NA,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Six to nine months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Agree,Neither Agree nor Disagree,Agree,C;C++;C#;Erlang;Java;JavaScript;Objective-C;Perl;PHP;Python;SQL;Swift;HTML;CSS;Bash/Shell,C++;Python;SQL,SQL Server;MySQL;PostgreSQL;MariaDB,MySQL;MariaDB,Android;Linux;Raspberry Pi;WordPress,NA,Django,Django,Atom;Eclipse;Notepad++;PyCharm;Vim,Linux-based,3,Agile;Scrum,Git,A few times per week,Yes,Yes,I wanted to view a specific advertisement;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Strongly agree,Neither agree nor disagree,Stopped going to a website because of their advertising,4,6,7,1,2,5,3,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,NA,Yes,A little bit interested,Very interested,A little bit interested,Somewhat interested,Not at all interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Fatigue-relieving floor mat;Ergonomic keyboard or mouse;Wrist/hand supports or braces,1 - 2 times per week,NA,NA,NA,NA,NA,NA,NA,The survey was too long,Somewhat easy
1322,Yes,No,Germany,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,100 to 499 employees,Student,3-5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology・E・Es online help system",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",Agree,Agree,Disagree,Assembly;C;Java;JavaScript;PHP;Python;SQL;Cobol;HTML;Bash/Shell,Assembly;C;SQL;Bash/Shell,MySQL;PostgreSQL;Elasticsearch,NA,Android;Linux,Linux;Mainframe,NA,NA,NetBeans;Vim,MacOS,2,Pair programming;Scrum,Git;Subversion;Copying and pasting files to network shares;Zip file back-ups,Less than once per month,No,NA,NA,Somewhat agree,Somewhat agree,Strongly disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),NA,NA,NA,NA,NA,NA,NA,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",The person who came up with the idea,Yes,8,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",6,Yes,Not at all interested,Very interested,Very interested,Somewhat interested,A little bit interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,1 - 2 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,18 - 24 years old,No,NA,The survey was too short,Very easy
1326,Yes,Yes,United States,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer;System administrator,3-5 years,0-2 years,Slightly dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 2 and 4 years ago,8,2,5,1,3,4,9,6,10,7,1,7,2,11,8,9,3,6,10,4,5,3,1,5,2,4,4,3,1,2,5,6,7,I did not receive an expected change in compensation,U.S. dollars ($),57000,Yearly,57000,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)",NA,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;Tapping your network of friends, family, and peers versed in the technology",NA,NA,Agree,Disagree,Strongly agree,JavaScript;Python;HTML;CSS;Bash/Shell,Java;Python;Kotlin;Bash/Shell,PostgreSQL,PostgreSQL,NA,Firebase,Django;React,Django;React,PyCharm,Linux-based,3,NA,Git,Multiple times per day,No,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),1,7,3,4,2,6,5,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,Yes,5,Yes,Somewhat interested,A little bit interested,Not at all interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,Wrist/hand supports or braces,3 - 4 times per week,Male,Gay or Lesbian,Some college/university study without earning a degree,White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
1327,Yes,No,Philippines,"Yes, full-time",Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Embedded applications or devices developer,6-8 years,6-8 years,Slightly dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 1 and 2 years ago,10,7,5,6,2,4,1,3,8,9,2,3,4,6,10,8,1,5,7,9,11,3,1,2,4,5,4,2,7,3,1,6,5,My job status or other personal status changed,U.S. dollars ($),NA,Monthly,NA,USD,"Other chat system (IRC, proprietary software, etc.)",Three to six months,Taken an online course in programming or software development (e.g. a MOOC),NA,NA,NA,Agree,Disagree,Disagree,C;C++;Perl,C;C++;Java;JavaScript;Python;Bash/Shell,NA,SQLite,NA,Android;Arduino;Raspberry Pi,NA,NA,Emacs;Vim,Linux-based,2,NA,Git,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),4,5,1,7,2,6,3,"Artificial intelligence surpassing human intelligence (""the singularity"")","Evolving definitions of ""fairness"" in algorithmic versus human decisions",Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,A little bit interested,A little bit interested,Somewhat interested,Somewhat interested,Very interested,Before 5:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
1328,Yes,Yes,Viet Nam,No,Employed full-time,Some college/university study without earning a degree,"Fine arts or performing arts (ex. graphic design, music, studio art)",Fewer than 10 employees,Embedded applications or devices developer;Game or graphics developer,0-2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,NA,"Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",NA,Amazon Echo;Android;Apple Watch or Apple TV;Arduino;AWS;Azure;Drupal;ESP8266;Gaming console;Google Cloud Platform/App Engine;Google Home;Heroku;IBM Cloud or Watson;iOS;Linux;Mac OS;Mainframe;Predix;Raspberry Pi;Salesforce;Serverless;SharePoint;Windows Desktop or Server;Windows Phone;WordPress;Firebase,NA,Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch,Android Studio;NetBeans;Notepad++;Visual Studio,Windows,1,Agile;Evidence-based software engineering;Formal standard such as ISO 9001 or IEEE 12207 (aka ・E・Ewaterfall・E・E methodologies),Git;Copying and pasting files to network shares;Zip file back-ups,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1329,Yes,No,United States,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,21-23 years,3-5 years,Moderately dissatisfied,Slightly satisfied,Doing the same work,"I・E・Em not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6,9,5,4,3,1,8,2,10,7,1,8,2,11,6,4,9,7,10,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1331,No,No,Bangladesh,No,Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,9-11 years,3-5 years,Moderately satisfied,Moderately satisfied,NA,I am actively looking for a job,Between 2 and 4 years ago,5,9,8,4,3,2,10,1,6,7,1,8,3,9,6,2,4,10,11,7,5,3,1,4,2,5,2,6,7,3,4,1,5,A friend told me about a job opportunity,U.S. dollars ($),NA,Monthly,NA,USD,Slack,One to three months,"Participated in a full-time developer training program or bootcamp;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",NA,One to three months,To improve my general technical skills or programming ability,Neither Agree nor Disagree,Disagree,Disagree,Java,Kotlin,MySQL,MongoDB,Android;Firebase,Android;iOS,NA,Django,Android Studio;IntelliJ,Windows,2,Mob programming,Git;Subversion,Multiple times per day,Yes,I'm not sure/I can't remember,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,NA,1,6,2,7,3,4,5,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",8,Yes,NA,NA,NA,NA,NA,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,3 - 4 times per week,Male,NA,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,NA,The survey was too long,Neither easy nor difficult
1333,No,No,India,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Embedded applications or devices developer,9-11 years,6-8 years,Moderately satisfied,Slightly satisfied,Working as an engineering manager or other functional manager,"I・E・Em not actively looking, but I am open to new opportunities",More than 4 years ago,2,7,5,4,1,8,10,6,9,3,1,2,3,7,6,9,5,4,11,10,8,2,1,3,5,4,2,4,6,1,3,5,7,I saw an employer・E・Es advertisement,Indian rupees (・E・Eｹ),900000,Yearly,14089,INR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Agree,Agree,Agree,C;C++;JavaScript;HTML;CSS;Bash/Shell,NA,NA,NA,NA,NA,NA,NA,NetBeans;Notepad++,NA,1,Agile,Subversion,A few times per week,Yes,No,NA,Somewhat agree,Neither agree nor disagree,Strongly agree,NA,1,2,3,5,4,6,7,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,Depends on what it is,Upper management at the company/organization,No,9,A few times per week,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",4,Yes,A little bit interested,A little bit interested,Very interested,A little bit interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
1334,No,No,Nigeria,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,20 to 99 employees,Front-end developer;Mobile developer,0-2 years,0-2 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I・E・Em not actively looking, but I am open to new opportunities",Less than a year ago,5,6,7,3,8,10,9,1,2,4,1,3,8,10,5,2,7,4,9,11,6,2,1,5,4,3,6,3,1,2,4,5,7,A recruiter contacted me,U.S. dollars ($),361,Monthly,4332,USD,Slack;Trello,One to three months,"Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",Agree,Disagree,Agree,C#;JavaScript;PHP;SQL;HTML;CSS,Python;Swift;TypeScript,"MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",MongoDB,Azure;Windows Phone;WordPress,SharePoint,Cordova;Xamarin,Angular;.NET Core;React,Notepad++;Visual Studio;Visual Studio Code,Windows,1,Kanban;Pair programming;Scrum,Git;Team Foundation Version Control,Multiple times per day,No,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),2,6,5,4,1,3,7,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",10 (Very Likely),Yes,Extremely interested,Extremely interested,Somewhat interested,Very interested,Extremely interested,Before 5:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Wrist/hand supports or braces,Daily or almost every day,Female,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",Black or of African descent,18 - 24 years old,No,NA,The survey was an appropriate length,Somewhat easy
1335,Yes,No,Belarus,No,Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,0-2 years,Moderately dissatisfied,Slightly satisfied,Doing the same work,I am actively looking for a job,Between 1 and 2 years ago,5,8,4,2,3,6,7,1,10,9,1,8,4,10,3,6,5,11,9,7,2,5,4,3,1,2,4,5,7,2,1,6,3,I did not receive an expected change in compensation,NA,2000,Monthly,12096,BYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1336,Yes,No,United States,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,DevOps specialist;System administrator,6-8 years,6-8 years,Moderately dissatisfied,Extremely dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I・E・Em not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,8,10,3,4,2,5,9,1,7,6,1,6,2,10,7,4,3,8,11,9,5,4,1,3,2,5,7,2,4,3,1,6,5,A friend told me about a job opportunity,U.S. dollars ($),85000,NA,85000,USD,"Confluence;Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology・E・Es online help system",NA,To improve my general technical skills or programming ability;To build my professional network;To help me find new job opportunities,Disagree,Disagree,Strongly disagree,C#;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,C#;JavaScript;Perl;Ruby;SQL;Bash/Shell,"MongoDB;Redis;SQL Server;MySQL;MariaDB;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)","Redis;SQL Server;Amazon DynamoDB;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",AWS;Azure;Linux;Windows Desktop or Server;WordPress,AWS;Azure;Linux;Serverless;Windows Desktop or Server,Node.js,.NET Core;Node.js;Torch/PyTorch,Notepad++;Sublime Text;Vim;Visual Studio,Windows,3,Agile;Kanban;Scrum,Git;Team Foundation Version Control,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website,Neither agree nor disagree,Strongly agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,5,2,4,6,1,7,3,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,8,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,No,Not at all interested,Not at all interested,A little bit interested,Very interested,Not at all interested,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,Daily or almost every day,Wrist/hand supports or braces,1 - 2 times per week,Female;Transgender,Gay or Lesbian,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was too long,Very easy
